date, pm25, pm10, o3, so2, co
2023/4/27, 171, 69, 21, , 
2023/4/28, 129, 66, 16, , 
2023/4/29, 105, 8, 8, , 
2023/4/30, 21, 16, 16, , 
2023/5/1, 27, 21, 15, , 
2023/5/2, 46, 32, 13, , 
2023/5/3, 71, 40, 29, , 
2023/5/4, 87, 47, 19, , 
2023/5/5, 101, 55, 18, , 
2023/5/6, 125, , , , 
2023/5/17, 57, 47, 5, , 
2023/5/18, 76, 36, 8, , 
2023/5/19, 68, 53, 9, , 
2023/5/20, 110, 56, 15, , 
2023/5/21, 117, 36, 20, , 
2023/5/22, 75, 30, 20, , 
2023/5/23, 60, 37, 3, , 
2023/5/24, 66, 51, 2, , 
2023/5/25, 96, 46, 4, , 
2023/5/26, 92, 48, 4, , 
2023/5/27, 100, 33, 7, , 
2023/5/28, 80, 54, 6, , 
2023/5/29, 121, 52, 8, , 
2023/5/30, 111, 70, 4, , 
2023/5/31, 147, 74, 13, , 
2023/6/1, 137, 70, 14, , 
2023/6/2, 137, 50, 5, , 
2023/6/3, 111, 40, 5, , 
2023/6/4, 93, 34, 7, , 
2023/6/5, 67, 42, 7, , 
2023/6/6, 86, 54, 4, , 
2023/6/7, 107, 65, 4, , 
2023/6/8, 127, 49, 6, , 
2023/6/9, 109, 12, 11, , 
2023/6/10, 27, 17, 13, , 
2023/6/11, 38, 30, 6, , 
2023/6/12, 75, 68, 4, , 
2023/6/13, 139, 76, 10, , 
2023/6/14, 148, 77, 9, , 
2023/6/15, 148, 57, 12, , 
2023/6/16, 120, 47, 5, , 
2023/6/17, 112, 62, 8, , 
2023/6/18, 122, 61, 9, , 
2023/6/19, 129, 70, 10, , 
2023/6/20, 139, 64, 27, , 
2023/6/21, 126, 55, 10, , 
2023/6/22, 129, 13, 15, , 
2023/6/23, 45, 19, 6, , 
2023/6/24, 36, 36, 10, , 
2023/6/25, 73, 34, 2, , 
2023/6/26, 82, 30, 8, , 
2023/6/27, 67, 28, 10, , 
2023/6/28, 59, 53, 5, , 
2023/6/29, 87, 66, 8, , 
2023/6/30, 105, 64, 10, , 
2023/7/1, 109, 65, 9, , 
2023/1/3, 31, 31, 41, 1, 4
2023/1/4, 33, 40, 48, 1, 4
2023/1/5, 39, 35, 34, 1, 4
2023/1/6, 50, 28, 33, 1, 4
2023/1/7, 36, 30, 35, 1, 4
2023/1/8, 42, 31, 34, 1, 3
2023/1/9, 30, 27, 28, 1, 3
2023/1/10, 24, 26, 32, 1, 3
2023/1/11, 26, 41, 46, 1, 3
2023/1/12, 34, 43, 49, 1, 3
2023/1/13, 40, 38, 54, 1, 6
2023/1/14, 36, 27, 35, 2, 3
2023/1/15, 32, 37, 50, 1, 3
2023/1/16, 47, 35, 39, 1, 3
2023/1/17, 42, 38, 36, 1, 3
2023/1/18, 48, 44, 45, 1, 3
2023/1/19, 44, 33, 30, 1, 3
2023/1/20, 43, 33, 44, 1, 3
2023/1/21, 41, 37, 54, 1, 3
2023/1/22, 47, 41, 48, 1, 4
2023/1/23, 42, 38, 40, 1, 3
2023/1/24, 39, 32, 44, 1, 3
2023/1/25, 38, 37, 44, 1, 3
2023/1/26, 33, 35, 48, 1, 3
2023/1/27, 36, 43, 53, 1, 3
2023/1/28, 37, 40, 60, 1, 3
2023/1/29, 40, 44, 46, 1, 3
2023/1/30, 44, 32, 48, 1, 3
2023/1/31, 27, 40, 39, 1, 3
2023/2/1, 37, 44, 54, 1, 3
2023/2/2, 40, 51, 67, 1, 3
2023/2/3, 53, 52, 55, 1, 4
2023/2/4, 61, 38, 39, 1, 3
2023/2/5, 45, 47, 41, 1, 3
2023/2/6, 75, 73, 89, 1, 7
2023/2/7, 130, 86, 90, 1, 10
2023/2/8, 164, 92, 105, 2, 10
2023/2/9, 163, 104, 114, 2, 15
2023/2/10, 174, 96, 84, 2, 20
2023/2/11, 149, 75, 99, 2, 6
2023/2/12, 141, 67, 70, 2, 6
2023/2/13, 117, 38, 44, 2, 3
2023/2/14, 40, 51, 42, , 
2023/2/15, 42, 54, 49, , 
2023/2/16, 54, 48, 49, , 
2023/2/17, 54, 54, 58, , 
2023/2/18, 53, 50, 44, , 
2023/2/19, 52, 39, 38, , 
2023/2/20, 41, 49, 83, , 
2023/2/21, 63, 61, 80, , 
2023/2/22, 69, 54, 51, , 
2023/2/23, 5, 47, 72, , 
2023/2/24, 5, 40, 39, , 
2023/2/25, 6, 16, 48, , 
2023/2/26, 38, 1, 39, , 
2023/2/27, 46, 2, 55, , 
2023/2/28, 42, 36, 60, , 
2023/3/1, 44, 61, 53, , 
2023/3/2, 48, 49, 63, , 
2023/3/3, 45, 44, 44, , 
2023/3/4, 49, 50, 49, , 
2023/3/5, 42, 53, 49, , 
2023/3/6, 50, 48, 34, , 
2023/3/7, 49, 41, 47, , 
2023/3/8, 34, 34, 35, , 
2023/3/9, 22, 39, 36, , 
2023/3/10, 29, 41, 35, , 
2023/3/11, 28, 32, 28, , 
2023/3/12, 22, 32, 30, , 
2023/3/13, 25, 43, 34, , 
2023/3/14, 35, 37, 38, , 
2023/3/15, 33, 39, 36, , 
2023/3/16, 23, 38, 40, , 
2023/3/17, 26, 39, 42, , 
2023/3/18, 24, 51, 44, , 
2023/3/19, 36, 40, 37, , 
2023/3/20, 35, 44, 40, , 
2023/3/21, 44, 59, 54, , 
2023/3/22, 62, 65, 69, , 
2023/3/23, 66, 61, 78, , 
2023/3/24, 70, 69, 67, , 
2023/3/25, 73, 59, 48, , 
2023/3/26, 65, 49, 48, , 
2023/3/27, 59, 53, 43, , 
2023/3/28, 64, 48, 48, , 
2023/3/29, 53, 45, 29, , 
2023/3/30, 29, 52, 41, , 
2023/3/31, 39, 61, 40, , 
2023/4/1, 57, 57, 45, , 
2022/10/2, 72, 30, 27, 6, 3
2022/10/3, 55, 19, 11, 2, 5
2022/10/4, 42, 29, 18, 2, 2
2022/10/5, 42, 32, 25, 1, 2
2022/10/6, 57, 34, 25, 1, 3
2022/10/7, 42, 37, 22, 7, 4
